response_to,user,timestamp,comment,likes,replies_attracted,channel
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,TK Haw,2 years ago,General rule: You can do anything but don't get caught,82,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Cecil薩蒔,2 years ago,"1. The law on not being naked in your own home is for individuals who expose themselves deliberately to others.

2. No case I know of had the authorities locking someone up for attempted suicide. Usually the institute of mental health takes over. ",38,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Rachel Lim,2 years ago,"Well the rule always applies: do anything but don’t get caught. Anyway, Singapore laws mainly focuses on deterrence. Often criticised for not just the laws itself but also the punishment. By imposing the death penalty on drugs, it’s similar to saving 100 than saving 1. Similarly, whipping as a punishment works the same way. In that way, people will fear to commit that crime. Likewise for committing suicide.",64,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Michael Chai,2 years ago,"I think most of the laws are set to scare people into not doing it, instead of actually actively catching the person. Water on MRT is probably fine but I think the purpose of banning drinks is so that sweet drinks aren't brought in with the potential to spill and dirty the MRT.",21,View 8 replies,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Norman King,2 years ago,"Some laws are there as a statement, they are not enforceable, toilet flushing is one such law.",14,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Mynn,2 years ago,"Singapore is ""SAFE"" because of its strict laws. Whether you like it or not.",31,View 4 replies,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Rachel Lim,2 years ago,"When they say no eating/drinking on the train they refer to no drinking of sweet drinks likes sprite, coke etc etc but plain water is fine.",51,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,bluedowee,2 years ago,"For the walking around naked in your house law, I don't think anyone even follows it LOL. Nobody is gonna report you anyway.",7,View 8 replies,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Norman King,2 years ago (edited),"Water's fine! I was once riding the mrt and when I was about to sit, the seats were covered in some brown-coloured sweet drink :(",2,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,myVictor lee,2 years ago,"We don't handcuff the young, the old and uniform personnel. Unless they endanger themselves or others. We never handcuff dead person. Its inhumane and insane to do that.",4,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,eldarmario presario,2 years ago,They should have a law to promote nakedness (in your homes) instead. 🤪That should up the cool factor for hdb living....haha,4,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,jinggwennlinn,9 months ago (edited),"On the illegal nature of being naked in your own home:

It becomes illegal only when u can be seen by outsiders- such as through windows or at balconies. the triggger for the enaction of this law is due to past cases whereby people have deliberately exposed themselves while standing at window grilles in the kitchen, where anyone opposite their apartment block could easily see them. An old man even masturbated himself and smiled to the domestic helper who saw him, while being in his full naked glory(came out in the newspapers).",0,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,mwade29,2 years ago (edited),"Hey Georgia :) You reminded me of a time when I was 15 (Sec 3, wearing school uniform and was in the MRT. A staff actually STOPPED me from drinking plain water from my bottle, afterwhich I felt it was very ridiculous. I mean, do you have the rights to stop me from getting hydated? (SMH) From then on, I do my very best not to drink water in MRT, especially infront of staff. And, yes I would be okay with it if I were drinking soft drinks but hey plain water? Lol just for sharing",0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Elvis Ng,2 years ago,You guys are too cute!,1,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Vivian Chong Sock Huoy,2 years ago (edited),"the naked in HDB Flats was due to many incidents being brought up to minsters and reports of residents exposing themselves on purpose to young girls or opposite flats. 2. and also many overseas workers who rents HDB flats back then there would be like 6 to 10 of them rents a flat and they maybe exposed and not covered up properly after their showers and some do exposed themselves freely and many residents or young kids are horrified, it was all over the news. and hence this law was introduce to deter ppl.",1,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,DY Lim,2 years ago,"On public transport, water is fine. Other drinks (eg. Coke, Fanta) are not",1,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Henry Tok,2 years ago,it's perfectly fine if you were to drink plain water or have some sweets on the train... just don't make a mess or leave the sweet wrappers in the train,0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,alfie,1 year ago (edited),Have you broken a law before?  Were you sentenced to the most feared caning?,0,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,darrendelong,2 years ago,Yay.,1,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Darkwear GT,2 years ago (edited),"@George Caney Like most Singaporeans said, most of these laws are not strictly enforced. I have never in my 40+ years of my life  here heard of anyone getting punished for not flushing after doing your business.",1,View 2 replies,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Tamie,2 years ago,A people do in train  i stuff all my food in my mouth and get in  and you can drink water not sweet drink  cause get ant  and ant they have to wash  and you need to pay them to wash it boom done,0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,p tan,1 year ago,I'm from singapore,0,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,NAZZ,2 years ago (edited),"You can walk around naked. The law is specific to that of the other person who sees you naked and has that sense of outrageousness.

For the law on suicide, it's just a legacy of British colonialism. This law is just there as a deterrence and never been used or enforced.",0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,osnapitzfx,2 years ago,I subbed,3,View 2 replies,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Darkwear GT,2 years ago (edited),"You forgot the law about chewing gum! But anyway, I do agree that some of these laws are pretty harsh as a Singaporean myself, but it does keep us safe and clean. As for the eating or drinking, plain water is definitely fine, just not sweet drinks or whatsoever.",0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,h0n3y,2 years ago,The flush toliet a part you have a gaint toilet and cant do it,0,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Ericia Yeo,2 years ago,The walking ard naked u can do that just dont get caught,0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Jayaprakash Jayabal,2 years ago,"I think like others have said, these laws are rarely enforced. For the most part, things like drinking water on the train or being naked at home are usually things many people do anyway. I feel like the law on nudity at home is there for cases whereby individuals deliberately expose themselves, or when there is an inconsiderate individual who chooses to be in front of a window naked despite maybe there being kids? Honestly some of these laws do sound a little ridiculous to me as a local but I do believe policemen or officers do use their discretion to judge a situation and not just blindly follow the book. The laws that really get on my nerves are the laws against suicide and homosexuality- which are rarely enforced too, but the fact that they still exist say something about our culture, and these laws feel like a violation of rights tbh. I believe they will change eventually though, most youth these days are very open minded- the government is just slow to take action but it will happen.",2,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Joey Yappie,2 years ago,It really depends...the law on homosexuality was definitely indigestible...how could u limit a person's sexual orientation?,8,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Bryan Wong,2 years ago,Idk why but Gum is illegal in Singapore..... (I live in Singapore BTW),0,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Los Angels,2 years ago,"There's also a ridiculous new law that was passed few yrs ago... you can only alight from a taxi at taxi stands and along smaller roads, if u r in the cdb area.",0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Michael Chai,2 years ago (edited),This is pathetic. I was in Japan and South Korea where both societies are quite safe in general. They don't have this kind of insane laws.,1,View 2 replies from Georgia Caney and others,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,NAZZ,2 years ago,YouTube is preventing me from explaining 377a which is the only homosexuality law in Singapore!,1,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,shafiqah iqbal,2 years ago,Hello,0,View 3 replies,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,sab _,2 years ago,U can drink on the train,0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Bhuvnesh Sankar,2 years ago,"2:38 the circumstance for the implementation of the 377A Penal code is the penetration of a male’s penis into another male, basically, gay sex. Because of the nature of the rule, it is extremely hard to be prosecuted for this due to the fact that it is extremely hard to catch and arrest anyone that is having gay sex. There have been one or two people charged with it, but i don’t think there have been anyone that has actually been found guilty for this. The rule is actually quite loose, and used as a deterrent for any sort of male homosexual behaviour. Because people rarely actively seek out the terms and conditions of this law, they tend to stray away from any sort of homosexual behaviour due to fear of being arrested and charged.",2,View reply,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Eddie Lim,2 years ago,Are the cars banned in singapore?,0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,RMrock12,2 years ago,Chewing gums are illegal in Singapore !,0,View 3 replies,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Sun Ny,1 year ago,Drinking plain water in trains stations or on the mrt is not allowed. I had people working there come up and told me to stop.,0,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,AdamAldo Smith Mitch,2 years ago (edited),"It would be messy and probably hazardous if no one wipes and dries the drink (be it plain water, soft drink, tea, coffee etc) spilt on the mrt seat and floor. Just look at hdb lifts and you will see water, cigarette butts etc inside. So it makes sense not to allow one to consume drink on the train. But I guess mrt staff will exercise discretion based on circumstance.",1,View 2 replies,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Muhd Sufian,2 years ago,"People still drink & eat on the trains lol anyway  , yup it smells when they eat food lol. Laws on gay  marriage is band is stupid we are humans we need love too lol.",9,,GC
THINGS YOU SHOULDN’T DO IN SINGAPORE!🇸🇬,Jango,2 years ago,want to be NAKED in the house is very simple just install the privacy solar films on the windows and close the curtains...done,0,REGISTER,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Michael Chai,5 years ago,"Maybe the below will help:
1} I dun have lah. = I really don't have it.  2) I dun have leh. = For some reason, I don't have it.  3) I dun have lor. =  I wish I had it, but sadly I don't.  4) I dun have liao. = I used to have it, but I don't anymore.  5) I dun have ha. = I remind you that I don't have it!  6) I dun have hor. = Don't look at me; I don't have it.  7) I dun have mah. = It would help if I had it, but I don't have it.  8) I dun have meh? = You think I don't have it?  9) I dun have siah! = I can't freaking believe I don't have it!",292,View 12 replies,GC
EXPAT LIVING IN SINGAPORE | UPDATE,joggingislife,4 years ago,"this has nothing to do with you as a person, but why is it that whenever white people move to a non western country, they're called expats. meanwhile, whenever asians/people of colour move to a western country, they're called immigrants. it's so lovely to see Singaporeans here commenting nicely/leaving tips and just all in all being welcoming, but I've watched too many videos of asian people (or just people of colour in general) talking about moving to the US for work and the comments were all 'go back to where you came from' or 'fuck off, we're full'. as a white person, i never realised white privilege was a thing until moving to asia and becoming an 'expat' whilst some of my asian friends would move to the uk and be immediately labled as 'immigrants'/have racial slurs thrown at them, when we were both moving because of our job. it's gross.",225,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,aroundsundown,4 years ago,I really find it funny how you say you don't understand why they like to blast the aircon and then the very next sentence you say the heat is unbearable. you just answered your own question ;),77,View 32 replies,GC
EXPAT LIVING IN SINGAPORE | UPDATE,darrendelong,4 years ago,"Singlish is basically a mix of broken English and local dialects such as Malay, Tamil and Chinese dialects (usually not Mandarin). 

Well, Lah is NOT exactly used at the end of all sentences. It really depends. It's can be used when you want to put an emphasis to your statement. Lah is not used when you are asking a question. For example, if you wanna say ""I am going!"", you can say ""I am going lah"".  2nd eg. ""Oh, come on!"", you can say ""Come on lah"", ""Oh please, don't do it"" becomes ""Please lah, don't do it leh"". Leh in this context becomes like a request.  Example, ""Hurry up, we are gonna be late"" becomes ""Hurry up leh, gonna be late"".",9,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Laura Chan,5 years ago,"Hmm, I would say that generally our English is good. But when we converse with fellow Singaporeans, we tend to use singlish. Other than that, we will converse in English.",35,View 11 replies from Georgia Caney and others,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Rachel,4 years ago,"So interesting to hear about Singapore from an expat's perspective. I absolutely agree that there is a lack of videos covered on Singapore to help expats. Hope you are adjusting well to Singlish (not everyone speaks it that often! It really depends on upbringing and I would say, maybe social class and schools that one goes to). Have fun, Singapore is small but definitely explore residential areas, that's the true Singapore. :)",8,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,zLegendaryLunaz,5 years ago,"taxi is not cheap T.T one ride in a taxi, you can get 4 plate of NICE chicken rice (Y)",25,View 6 replies from Georgia Caney and others,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Holly Rebecca White,5 years ago,"GEORGIA, YOU'RE HAIR LOOKS AMAZING ♥",17,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,bananapotato,4 years ago,transport is cheap but we squeeze like siao,14,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Koby Astro,4 years ago,"the ""lah"" is just a local slang across the different languages. To understand it simpler, Singlish is english with broken grammar. 

For you expats, jgn ckp abg tk payung, an example will be:",2,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,nurfatinatiqah,4 years ago,It's so cute how much you like about SG! And here's how much I want to live in another country. Hehe. Hope to see you around!,1,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Charlotte Hall,5 years ago,This was sooo helpful! Moving abroad next year and will definitely bear some of these tips in mind! xx,1,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Sophie Louise,5 years ago,I remember when you announced your move you where so nervous! It looks and sounds like your having a fantastic time and your apartment is stunning! Loved your apartment tour hehe x the food sounds awesome! x and your makeup is on point gurll!! x :) x,1,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Butter & toast,4 years ago,Hey! I live in Singapore and Singlish is a really difficult to understand by foreigners 😂 it's kind of our language it's difficult to explain what it means but I'm pretty sure you'll get used to it 👌🏻 also I think you find the air con unbearable because in Singapore its burning so Malls tend to turn down the air con because it's so hot and we're used to it :) Singapore has a lot of sightseeing places and small streets which are amazing. I suggest haji lane if you have like a photo taking day because it's so photo worthy 👌🏻 there's cafes there too and usually on weekend nights they have a little flea with a lot of food and performances. I personally have never been there at night but I've been there for photoshoots and it's pretty cool ☺️ cafe hopping is pretty popular and one of the cafes you should try is the cat cafe at Victoria street. Shopping at The Central area like Bugis and Orchard is great too 😊 hope this helps!,3,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Annabel Samantha,5 years ago,SO happy I found your channel! Going to creep through them all now x,1,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Lynsey W,5 years ago,"I would love to see a video about your job, what it is you do exactly, how it is working in a different country with different people etc ❤️",3,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Rachel Yvvengela,4 years ago,"Hello Georgia! I've just moved over to London in Sept from Singapore and am still trying to adjust to the cold and the environment here (Winter's here!!!). Stumbled upon this video and I just want to say, it sent so much warmth to me hearing about Singapore from you, feels like close to home in a way :) Hope settling into SG has been smooth and you're loving it! I can't wait to go home this Xmas!!! XX",0,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,LoveAndOneness,5 years ago,Singaporean here :) May the rest of your stay be a fulfilling and enjoyable one <3,0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Look At its tail,4 years ago,"""I was on YouTube Googling""",0,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,MichelleA,5 years ago,"""Lah"" is normally used to emphasize on something, probably Singaporeans love to add power to their (or, our, since I'm a Singaporean myself) sentences haha. I'm glad you're liking Singapore!",2,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Anne A,4 years ago,Hi there! I'm so glad i found  this video coz I'm moving to Singapore next week and I had to no clue where to start! So big thanks to that.. also about the app where one could make friends that would help me alot! So Please do make more videos so alot like me would be happy ! :),0,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Jenna Bozanis,5 years ago,"Thank you for sharing! Going to Singapore on exchange for school in a few months, this has helped a lot!",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Victor Neff,5 years ago,"Hawker Centres can often have reasonable beer prices, duty free alcohol at the airport isn't impossible to get hold of, 7/11 beers aren't too bad. Overall though, drinking in SG isn't that important - there's plenty else to do :)",3,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,CezL,4 years ago,Thanks for this video. :) I'm all set to move to Singapore in March so definitely trying to track down as much info as possible in the meantime.,0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Baby Maria,4 years ago,Youre so pretty omggg ! i wanna meet you 💖,0,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Subodh Royalty,4 years ago,"thank u so much for the tips and suggestion..
i thinking about moving to singapore for living ..
wish u could help me more so would be easy for the new life in singapore",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,ThatBlondeChick1,5 years ago,AH ! I'm from perth hopefully i see you around while your here !! glad every things going well for you xx makeup is looking so good here by the way x,0,View 3 replies,GC
EXPAT LIVING IN SINGAPORE | UPDATE,AMC,5 years ago,I know what you mean about the AC (air con) blasting! I live in CA and my work blasts the AC year round even in fall/winter! I keep a little space heater at my desk to keep me warm :),1,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Joel kim,5 years ago,"Well for instance: instead of saying ""stop it"" Singaporeans tend to say ""stop it lah"" to emphasise the word's intended meaning.",1,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Jason Barnidge,4 years ago,"Thanks for sharing your update and experience. It's been very helpful to a future expat, soon to be relocating to Singapore from the US.",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Michal N,5 years ago,"Hi,

is ur employer ok with u travelling so often and r the holiday days enough for such extensive travelling? r u doing short weekend trips or how? thanks",1,View 20 replies,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Ale Hidalgo,4 years ago,"Your videos are amazing and you're gorgeous! I lived in singapore for a couple of years, did most of my middle and high school there. I agree with quite a number of things you said. It's nice, but I couldn't really get used to the heat. I personally prefer and work better in the cold. And Cars are crazy expensive! My parents bought one and it costed over 70k. I still visit every now and then as my family still lives there. GIRLS NIGHT is the best, sometimes we even go club jumping as the entries are free. Some clubs has Girls night on Thursdays, really depends. Everyone I knew including myself did notice that about singapore too which is a lot of expats travel so much while they're in singapore but the moment they move back home, it just stops. Hope you're enjoying Perth! I travel there a lot too and it's lovely! They have the perf weather x",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,happygirl Ess,4 years ago,omgosh youre so beautiful . heheh yea im from singapore.  yea lots of singlish. i just love the beautiful british language,0,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Lauren Steele,3 years ago,Love learning about your experiences in Singapore and excited to keep following you! My husband and I just moved to London as expats so you might be interested in following our journey as well! :),0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,jennifer allen,4 years ago,What area is the  apartments you live in please?  Loving the videos please keep them coming x,1,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Courtney Thompson,4 years ago,Your make up is so pretty!:),6,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,limz777,4 years ago,"in s'pore , when anyone tell you they own a car is BS , firstly he rents it from the bank , payment finally made ... now lta owned it",0,View 3 replies from Georgia Caney and others,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Apricot Chutney,4 years ago,"Hey I just came upon your video! And first off, you have such BEAUTIFUL eyes! You're so lucky to have that beautiful shade of blue. My mum has blue eyes too - but they are like greyish-blue. Yours are like what we used to find on dolls when younger! Wow! So so beautiful! Haha, okay just had to tell you that.",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,McMahon TV,4 years ago,I live there for 12 years and just moved and I'm 13,0,View 2 replies,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Karen Kweok,4 years ago,chanced upon your video and it's cool to hear about singapore from an expat point of view :),3,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,sliderdimension,4 years ago,Regarding the drinking: YES omg expensive. :(,0,View 3 replies,GC
EXPAT LIVING IN SINGAPORE | UPDATE,PetraGreene,4 years ago,"I actually just moved to London for university and oh boy. The last few months before I moved was hell. I was fretting, worrying and being so totally anxious. I've been here for a month now and it's totally fine. All that worry for nothing.",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,sepet,5 years ago,YAY !! Fanmail? PO box ? haha😁✨,1,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Pride909,4 years ago,thanks for the video. makes me not want to go to Singapore. looks like I'm going to Thailand and the Philippines.,0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Kiera Emily,5 years ago,Looking so healthy and beautiful x,2,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Qibili,4 years ago,"I'm really thinking about relocating to Singapore, I was there last year but that was only at Changi Airport for a few hours. Helpful and insightful video.",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Kaysar777,4 years ago,you have very beautiful eyes!      :D,0,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,pooja khandelwal,5 years ago,Where would you recommend for ladies night on Wednesday?,0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,qeesya22,4 years ago,Check out Bugis street ! I'm Singaporean and I shop there often. I hope you'll have a great time here! Xo,0,View 2 replies from Georgia Caney and others,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Gillian Loh,5 years ago,glad that u enjoy here in Singapore:D,1,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,nurjannah91,4 years ago,"I have always been skeptical on expats living in Singapore. mostly due to how they treat locals that provide services for them. however, it's a nice change to see how well you are adapting living in Singapore and still able to have a positive outlook despite the hectic lifestyle here. I hope you make great memories during your stay in singapore. 😊",0,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,rachael,4 years ago,"you should try shopping at places like bugis street, scape or haji lane they have really nice clothes but im not so sure abt the size 😅",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Kim K,5 years ago,"""lah"" has absolutely no meaning, but it is usually used to emphasise  anger or annoyance(somewhere along those lines).",1,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Ge Carney,3 years ago,"what's the weird whooshing sound, your window? lol i love singapore!!",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Joyce Forensia,4 years ago,Welcome to Singapore! :),0,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Tomaz Ahlin,3 years ago,"Why are your eyes so big? I like it haha :) Thanks for your review of Singapore, I'm thinking to move there ;)",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,meshal bataineh,3 years ago,"hi ... can you give me your email ...I want to ask you some questions about Singapore 
thank you 😊",0,View 3 replies,GC
EXPAT LIVING IN SINGAPORE | UPDATE,YC Tan,4 years ago,"You must have went cold turkey on whatever drug you've been smoking in the UK, no hang on or was that the frequent visit to NL?",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Sheyan Lovell,4 years ago,what camera do u use and the lens ? Btw i love your style and you r really pretty,0,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Karthi Silver Vlogs,4 years ago,hope  you're happy here :),0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Jerry Tang,4 years ago,Greetings from Singapore!!!,0,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Alex Guana,5 months ago,watching this in 2020! don't know why but you have great information!,1,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,faith babirye,5 years ago,Thank you so much video very helpful tips. Planning to move Singapore next year for internship :),2,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Zy Zy Lemore,4 years ago,Because it's really hot and humid outside 😭,0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Ashwin Raj,5 years ago,Nice Video ! Are you migrating from the UK to SG on permanent basis ?,1,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Maria T,3 years ago,"Hi Georgia, I would really appreciate if you could answer a question for me because I am about to make a life-changing move: can an expat fresh graduate find a job over there?",0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Cassandra Ng,4 years ago,Welcome to Singapore!,0,View 19 replies,GC
EXPAT LIVING IN SINGAPORE | UPDATE,nurul zalifah,4 years ago,"tbvh u can just speak normal english to sgreans we speak two diff kind of languages actually three,english,singish,mother tongue so yeah lol",1,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Joseph Monteiro,4 years ago,Your video was very informative.  Thank you very much,0,View reply,GC
EXPAT LIVING IN SINGAPORE | UPDATE,LiterallyCV,4 years ago,I live on Singapore as an expat as well,0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,TURNIT IN NO REPLY,4 years ago,I also live here xx,0,View reply from Georgia Caney,GC
EXPAT LIVING IN SINGAPORE | UPDATE,holy rincess,4 years ago,I live in Singapore I hope I meet U :(,0,,GC
EXPAT LIVING IN SINGAPORE | UPDATE,Karen Kweok,4 years ago,i love your accent btw,0,BUY NOW,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Leisha Greenleaf,6 months ago,Oh no re your apartment 😞🤦🏼‍♀️,5,View reply from Georgia Caney,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Nature Adventurist,6 months ago,"Check your tenancy agreement to see if there are any clauses that bind the landlord to continue to lease out the property to you, failing which the landlord has to  compensate you for premature termination of the lease.",38,,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Wuf Waffe,6 months ago,See how ah,38,View 3 replies from Georgia Caney and others,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,nathalie finn,6 months ago,"Love the smell of bleach....
so sorry you're having bother with your apartment 🙄  nightmare!!!",3,,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,haily newma,6 months ago,"oh, I am so sorry about the appartement situation. This really sucks, hope it turns out well for you. And you don’t want to return to Europe at the moment ....",40,View reply,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Meklavier,6 months ago (edited),1st finally. You are shooting in my uni campus,6,,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Rachel Lim,6 months ago,whaaaaat omg how can they just decide to sell without even considering you guys first... that's so unfair I hope reviewing the contract will help!,21,View 4 replies from Georgia Caney and others,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Averil Tiong,6 months ago,I LOVE the smell of bleach!!! It's the smell of germs dying a painful death hahaha,23,,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Ranger629,6 months ago,"A quick check in the contract will definitely help, in Singapore, everything is about black and white. If the 2 years contract between you and the landlord did state that the landlord is not allowed to do anything to the apartment until the contract is fulfilled then you will definitely be able to bring this up in court about breaking of the contract.",33,View 10 replies,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Jackson G,6 months ago,he probably lost a fortune in the stock market recently.,12,,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,turtlegeneral,6 months ago (edited),"6:10 ""see how ah"" 🤣 oh no hopefully they won't buy it!!",5,View 2 replies from Georgia Caney and others,GC
ARE WE BEING EVICTED AGAIN!? SINGAPORE WEEKLY VLOG,Coffeebud Hong,6 months ago,"Bad timing to sell, tell the landlord ...",15,,GC
